8/7/2020
11:21:36 AM

0, CH+=0, CH-=199, Range=0-5, y=(a-1.625)/.32
1, CH+=1, CH-=199, Range=0-5, y=(b-1.63)/.33


Time	v0	v1	y0	y1
0.788000	1.484947	1.884929	-0.437666	0.772512
0.790000	1.201381	1.419454	-1.323809	-0.638017
0.792000	2.138162	1.313205	1.603630	-0.959986
0.794000	2.279945	1.930465	2.046702	0.910499
0.796000	1.095044	1.803977	-1.656113	0.527203
0.798000	1.631794	1.869750	0.021230	0.726517
0.800000	0.573485	1.571240	-3.285985	-0.178062
0.802000	2.224244	1.308145	1.872638	-0.975317
0.804000	2.219180	1.601597	1.856814	-0.086071
0.806000	1.591284	1.905167	-0.105362	0.833839
0.808000	1.550775	1.763501	-0.231954	0.404548
0.810000	1.312782	1.864691	-0.975681	0.711185
0.812000	1.555839	1.343562	-0.216130	-0.867995
0.814000	1.986251	1.363800	1.128910	-0.806667
0.816000	2.138162	1.935524	1.603630	0.925830
0.818000	1.160872	1.758441	-1.450401	0.389216
0.820000	1.869787	1.960822	0.764958	1.002490
0.822000	0.431702	1.449811	-3.729057	-0.546026
0.824000	2.355900	1.328383	2.284062	-0.913990
0.826000	2.285008	1.743263	2.062526	0.343221
0.828000	1.393801	1.834334	-0.722497	0.619194
0.830000	1.697622	1.829274	0.226942	0.603862
0.832000	0.760841	1.763501	-2.700497	0.404548
0.834000	2.178671	1.313205	1.730222	-0.959986
0.836000	1.824214	1.449811	0.622542	-0.546026
0.838000	2.087525	1.895048	1.445390	0.803176
0.840000	1.221636	1.758441	-1.260513	0.389216
0.842000	1.768513	1.996238	0.448478	1.109813
0.844000	0.968452	1.333443	-2.051713	-0.898658
0.846000	2.082461	1.389097	1.429566	-0.730008
0.848000	2.295136	1.809036	2.094174	0.542535
0.850000	1.100107	1.778679	-1.640289	0.450544
0.852000	1.657112	1.900108	0.100350	0.818508
0.854000	0.284855	1.621835	-4.187953	-0.024743
0.856000	2.097652	1.338502	1.477038	-0.883326
0.858000	1.849532	1.535823	0.701662	-0.285385
0.860000	1.976124	1.844453	1.097262	0.649857
0.862000	1.591284	1.793858	-0.105362	0.496539
0.864000	1.302655	1.996238	-1.007329	1.109813
0.866000	1.616603	1.287907	-0.026242	-1.036645
0.868000	1.930551	1.439692	0.954846	-0.576690
0.870000	2.259690	1.819155	1.983406	0.573198
0.872000	1.257081	1.738203	-1.149745	0.327889
0.874000	1.500138	1.976000	-0.390194	1.048485
0.876000	0.411447	1.464990	-3.792353	-0.500030
0.878000	2.092589	1.409335	1.461214	-0.668681
0.880000	1.945742	1.586418	1.002318	-0.132066
0.882000	1.692558	1.788798	0.211118	0.481207
0.884000	1.733067	1.874810	0.337710	0.741848
0.886000	1.029216	1.915286	-1.861825	0.864503
0.888000	1.879914	1.328383	0.796606	-0.913990
0.890000	1.874850	1.485228	0.780782	-0.438703
0.892000	2.122971	1.829274	1.556158	0.603862
0.894000	1.444438	1.768560	-0.564258	0.419880
0.896000	1.368482	2.062012	-0.801617	1.309126
0.898000	0.674758	1.363800	-2.969505	-0.806667
0.900000	2.148289	1.454871	1.635278	-0.530694
0.902000	2.097652	1.626894	1.477038	-0.009412
0.904000	1.788768	1.748322	0.511774	0.358552
0.906000	1.646985	1.935524	0.068702	0.925830
0.908000	0.841860	1.702787	-2.447313	0.220566
0.910000	2.102716	1.399216	1.492862	-0.699344
0.912000	1.829277	1.490287	0.638366	-0.423371
0.914000	2.067270	1.778679	1.382094	0.450544
0.916000	1.495074	1.844453	-0.406018	0.649857
0.918000	1.565966	2.051893	-0.184482	1.278463
0.920000	1.074789	1.318264	-1.719409	-0.944654
0.922000	2.122971	1.490287	1.556158	-0.423371
0.924000	2.026761	1.652192	1.255502	0.067248
0.926000	1.793831	1.763501	0.527598	0.404548
0.928000	1.338100	1.996238	-0.896561	1.109813
0.930000	0.568421	1.520645	-3.301809	-0.331380
0.932000	2.107780	1.449811	1.508686	-0.546026
0.934000	1.773577	1.505466	0.464302	-0.377376
0.936000	2.183735	1.733144	1.746046	0.312557
0.938000	1.292527	1.920346	-1.038977	0.879835
0.940000	1.439374	1.925405	-0.580082	0.895167
0.942000	1.484947	1.338502	-0.437666	-0.883326
0.944000	1.945742	1.495347	1.002318	-0.408039
0.946000	1.976124	1.616775	1.097262	-0.040075
0.948000	1.717876	1.834334	0.290238	0.619194
0.950000	1.145681	2.006357	-1.497873	1.140476
0.952000	0.619058	1.409335	-3.143569	-0.668681
0.954000	2.067270	1.490287	1.382094	-0.423371
0.956000	1.525456	1.495347	-0.311074	-0.408039
0.958000	2.401473	1.763501	2.426478	0.404548
0.960000	1.419119	1.986119	-0.643378	1.079149
0.962000	1.155808	1.768560	-1.466225	0.419880
0.964000	1.874850	1.419454	0.780782	-0.638017
0.966000	1.793831	1.515585	0.527598	-0.346712
0.968000	2.133098	1.606656	1.587806	-0.070739
0.970000	1.479883	1.925405	-0.453490	0.895167
0.972000	1.170999	1.965881	-1.418753	1.017822
0.974000	0.963388	1.373919	-2.067537	-0.776004
0.976000	2.117907	1.520645	1.540334	-0.331380
0.978000	1.439374	1.429573	-0.580082	-0.607353
0.980000	2.355900	1.864691	2.284062	0.711185
0.982000	1.165935	1.965881	-1.434577	1.017822
0.984000	1.029216	1.606656	-1.861825	-0.070739
0.986000	2.011570	1.490287	1.208030	-0.423371
0.988000	1.652048	1.485228	0.084526	-0.438703
0.990000	2.517938	1.697727	2.790430	0.205234
0.992000	1.353291	1.981060	-0.849089	1.063817
