StartTime: 2020-12-15 14:02:19.073
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 14:02:21.035	-0.0157	-0.0227	1.0004	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4528	-1819
0x50	 14:02:21.035	-0.0157	-0.0227	1.0004	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4528	-1821
0x50	 14:02:21.035	-0.0159	-0.0236	1.0001	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	305	4528	-1821
0x50	 14:02:21.050	-0.0159	-0.0236	1.0001	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4526	-1820
0x50	 14:02:21.086	-0.0153	-0.0231	1.0002	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4527	-1819
0x50	 14:02:21.089	-0.0153	-0.0231	1.0002	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4528	-1818
0x50	 14:02:21.089	-0.0156	-0.0221	0.9994	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4528	-1817
0x50	 14:02:21.091	-0.0156	-0.0221	0.9994	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	304	4528	-1817
0x50	 14:02:21.091	-0.0162	-0.0227	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	304	4529	-1818
0x50	 14:02:21.123	-0.0162	-0.0227	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	304	4529	-1818
0x50	 14:02:21.189	-0.0166	-0.0237	1.0009	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.32	4.07	304	4529	-1817
0x50	 14:02:21.189	-0.0166	-0.0237	1.0009	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.32	4.07	304	4529	-1817
0x50	 14:02:21.189	-0.0155	-0.0244	1.0009	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.25	4.07	303	4528	-1818
0x50	 14:02:21.189	-0.0155	-0.0244	1.0009	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.25	4.07	303	4526	-1818
0x50	 14:02:21.189	-0.0156	-0.0227	0.9999	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.29	4.07	303	4525	-1818
0x50	 14:02:21.189	-0.0156	-0.0227	0.9999	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.29	4.07	304	4525	-1818
0x50	 14:02:21.189	-0.0148	-0.0223	0.9998	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.29	4.07	304	4525	-1819
0x50	 14:02:21.189	-0.0148	-0.0223	0.9998	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4526	-1819
0x50	 14:02:21.190	-0.0150	-0.0226	1.0002	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4526	-1817
0x50	 14:02:21.213	-0.0150	-0.0226	1.0002	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4527	-1817
0x50	 14:02:21.213	-0.0157	-0.0229	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	305	4527	-1816
0x50	 14:02:21.215	-0.0157	-0.0229	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	305	4527	-1816
0x50	 14:02:21.234	-0.0161	-0.0232	1.0009	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.24	4.07	305	4527	-1815
0x50	 14:02:21.245	-0.0161	-0.0232	1.0009	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.24	4.07	305	4526	-1816
0x50	 14:02:21.332	-0.0154	-0.0231	1.0007	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	305	4525	-1816
0x50	 14:02:21.332	-0.0154	-0.0231	1.0007	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	305	4526	-1816
0x50	 14:02:21.332	-0.0156	-0.0231	1.0002	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	306	4527	-1817
0x50	 14:02:21.332	-0.0156	-0.0231	1.0002	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	306	4527	-1818
0x50	 14:02:21.332	-0.0156	-0.0232	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	305	4526	-1818
0x50	 14:02:21.332	-0.0156	-0.0232	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	305	4525	-1817
0x50	 14:02:21.332	-0.0165	-0.0228	0.9999	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	305	4525	-1816
0x50	 14:02:21.332	-0.0165	-0.0228	0.9999	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4526	-1815
0x50	 14:02:21.336	-0.0156	-0.0222	1.0007	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	304	4526	-1816
0x50	 14:02:21.339	-0.0156	-0.0222	1.0007	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	304	4525	-1816
0x50	 14:02:21.343	-0.0154	-0.0236	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	304	4524	-1816
0x50	 14:02:21.408	-0.0154	-0.0236	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	304	4523	-1817
0x50	 14:02:21.408	-0.0153	-0.0236	1.0000	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	304	4524	-1816
0x50	 14:02:21.408	-0.0153	-0.0236	1.0000	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	304	4525	-1816
0x50	 14:02:21.408	-0.0157	-0.0228	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.31	4.07	304	4524	-1817
0x50	 14:02:21.408	-0.0157	-0.0228	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.31	4.07	304	4523	-1816
0x50	 14:02:21.408	-0.0165	-0.0237	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	304	4523	-1815
0x50	 14:02:21.430	-0.0165	-0.0237	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	304	4523	-1816
0x50	 14:02:21.432	-0.0164	-0.0233	1.0002	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	304	4523	-1817
0x50	 14:02:21.437	-0.0164	-0.0233	1.0002	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	304	4524	-1818
0x50	 14:02:21.447	-0.0161	-0.0237	1.0011	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4525	-1819
